,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT
0,20221008_030317_3620108077,0.19,0.1,20,0.3,0.4818711365628456,20.419437333730812,984.3559774713793
1,20221008_030317_3620108077,0.19,0.1,25,0.2317125354367801,0.3746020425716946,24.702253615447898,1014.7740181440897
2,20221008_030317_3620108077,0.19,0.15000000000000002,20,0.2650443323074045,0.2691287403235333,20.006957696739505,1006.9779705304919
3,20221008_030317_3620108077,0.19,0.15000000000000002,25,0.3,0.3145010370404302,25.154314550925665,1016.3033521031338
4,20221008_030317_3620108077,0.19,0.20000000000000004,20,0.3,0.4821417306584334,20.0,984.3559774713793
5,20221008_030317_3620108077,0.19,0.20000000000000004,25,0.3,0.24623036250627228,24.957545334821358,1027.7195158450304
6,20221008_030317_3620108077,0.19,0.25000000000000006,20,0.1398151779894679,0.24558038900134366,20.128166949708227,997.4519989452828
7,20221008_030317_3620108077,0.19,0.25000000000000006,25,0.3,0.27566399050556706,24.630473019422855,1040.5582314875096
8,20221008_030317_3620108077,0.19,0.30000000000000004,20,0.3,0.2531462994162906,20.3905582137007,1049.4769836178036
9,20221008_030317_3620108077,0.19,0.30000000000000004,25,0.3,0.3488642370071115,24.893826274307905,996.9722501976909
10,20221008_030317_3620108077,0.19,0.3500000000000001,20,0.2435532830061654,0.27078582282460145,20.122253896170562,974.7969440544165
11,20221008_030317_3620108077,0.19,0.3500000000000001,25,0.3,0.17203946783090868,26.404820033498005,1001.9826839246675
12,20221008_030317_3620108077,0.19,0.40000000000000013,20,0.3,0.1286238405014771,20.936843181683482,1010.1651119320433
13,20221008_030317_3620108077,0.19,0.40000000000000013,25,0.1899987080614891,0.14327410287874692,26.190941763880332,995.1796318710889
14,20221008_030317_3620108077,0.19,0.45000000000000007,20,0.3,0.12832869797809943,20.0,1010.1651119320433
15,20221008_030317_3620108077,0.19,0.45000000000000007,25,0.3,0.25280810527778114,25.583965636976977,958.070465792131
16,20221008_030317_3620108077,0.21,0.1,20,0.19732106094365093,0.2540969201761301,20.360537142825194,988.2704673384344
17,20221008_030317_3620108077,0.21,0.1,25,0.20361501357671008,0.22995404160649746,25.011143927941976,926.2018136495387
18,20221008_030317_3620108077,0.21,0.15000000000000002,20,0.2554924460664034,0.3754608143473269,20.0,950.8923752953144
19,20221008_030317_3620108077,0.21,0.15000000000000002,25,0.3,0.33124880498173664,24.10693477971635,1003.5725081891526
20,20221008_030317_3620108077,0.21,0.20000000000000004,20,0.24153515498551253,0.2706231914889018,20.143611077271316,948.6996186733069
21,20221008_030317_3620108077,0.21,0.20000000000000004,25,0.3,0.18786203632206294,25.466197619512382,995.9676959052612
22,20221008_030317_3620108077,0.21,0.25000000000000006,20,0.3,0.25159258917527133,20.26308060765098,1043.3828436537972
23,20221008_030317_3620108077,0.21,0.25000000000000006,25,0.3,0.18769788744949628,25.409417854778148,995.9676959052612
24,20221008_030317_3620108077,0.21,0.30000000000000004,20,0.25355949313171056,0.2708279607755241,20.0,1002.4441623076224
25,20221008_030317_3620108077,0.21,0.30000000000000004,25,0.3,0.23103398985728885,25.742640605535275,1015.4672988878975
26,20221008_030317_3620108077,0.21,0.3500000000000001,20,0.3,0.3333437130440885,20.00601235574731,998.7996286687593
27,20221008_030317_3620108077,0.21,0.3500000000000001,25,0.3,0.2527646207688572,25.36045438811277,958.070465792131
28,20221008_030317_3620108077,0.21,0.40000000000000013,20,0.22449388673009252,0.3589501120978062,20.3884067891854,1014.4116166719199
29,20221008_030317_3620108077,0.21,0.40000000000000013,25,0.3,0.18993692779496835,26.03988144477378,981.648161162004
30,20221008_030317_3620108077,0.21,0.45000000000000007,20,0.2953603747353351,0.21753660985462703,20.70999524980846,1018.0686046387619
31,20221008_030317_3620108077,0.21,0.45000000000000007,25,0.3,0.32404111408199454,25.432250103576195,968.5129809243465
32,20221008_030317_3620108077,0.22999999999999998,0.1,20,0.3,0.26433104414204656,20.24498705785149,1030.6308959489913
33,20221008_030317_3620108077,0.22999999999999998,0.1,25,0.3,0.2748318299687227,24.34343299084924,1040.5582314875096
34,20221008_030317_3620108077,0.22999999999999998,0.15000000000000002,20,0.3,0.26841772950280957,20.481572375591895,1059.3237877150896
35,20221008_030317_3620108077,0.22999999999999998,0.15000000000000002,25,0.3,0.2540213219914191,26.5433351425842,1012.2762130783565
36,20221008_030317_3620108077,0.22999999999999998,0.20000000000000004,20,0.3,0.12297075103625832,20.294452797810315,1052.0424319039546
37,20221008_030317_3620108077,0.22999999999999998,0.20000000000000004,25,0.3,0.234736716548207,25.680566366771348,992.96224487711
38,20221008_030317_3620108077,0.22999999999999998,0.25000000000000006,20,0.15174078546051734,0.2925503107306204,20.11065387278931,956.953809561101
39,20221008_030317_3620108077,0.22999999999999998,0.25000000000000006,25,0.3,0.3081267863635254,25.473684561663244,1003.4046078213985
40,20221008_030317_3620108077,0.22999999999999998,0.30000000000000004,20,0.23555672935456728,0.28460623699387666,21.111535620351415,1025.9434215422475
41,20221008_030317_3620108077,0.22999999999999998,0.30000000000000004,25,0.3,0.19043226771044575,24.334090434333493,981.3236292868037
42,20221008_030317_3620108077,0.22999999999999998,0.3500000000000001,20,0.3,0.4820665900412173,20.273443418196706,984.3559774713793
43,20221008_030317_3620108077,0.22999999999999998,0.3500000000000001,25,0.3,0.25699615416466426,25.182952318544075,977.8926701668712
44,20221008_030317_3620108077,0.22999999999999998,0.40000000000000013,20,0.3,0.2645946563054255,20.870444664332716,1028.7657678539153
45,20221008_030317_3620108077,0.22999999999999998,0.40000000000000013,25,0.22935133154478976,0.3712037937198468,24.879274077428015,1014.7740181440897
46,20221008_030317_3620108077,0.22999999999999998,0.45000000000000007,20,0.3,0.12628653991065442,20.822826078944935,1010.1651119320433
47,20221008_030317_3620108077,0.22999999999999998,0.45000000000000007,25,0.3,0.19003680493485375,24.055175395405232,995.9676959052612
48,20220626_040436_3620108077,0.19,0.1,20,0.18460656397025677,0.20227734002841136,20.774676659690808,786.518785205386
49,20220626_040436_3620108077,0.19,0.1,25,0.3,0.350459090043517,24.669103436540897,793.0007604894649
50,20220626_040436_3620108077,0.19,0.15000000000000002,20,0.18703696121397773,0.22649003572240767,20.0,770.3600305245009
51,20220626_040436_3620108077,0.19,0.15000000000000002,25,0.2000244290309447,0.3483875831906851,24.71338332286396,778.0179659709478
52,20220626_040436_3620108077,0.19,0.20000000000000004,20,0.189241118454206,0.20788325990310544,20.181501820754306,811.049397376568
53,20220626_040436_3620108077,0.19,0.20000000000000004,25,0.3,0.37005548893198426,24.904285810922605,810.4004349276494
54,20220626_040436_3620108077,0.19,0.25000000000000006,20,0.3,0.3915702010459817,20.0,810.4004349276494
55,20220626_040436_3620108077,0.19,0.25000000000000006,25,0.3,0.3921374488471579,25.450573250063083,814.0313563099286
56,20220626_040436_3620108077,0.19,0.30000000000000004,20,0.19578442030455967,0.2547794687000793,20.511756027956775,763.5993606748762
57,20220626_040436_3620108077,0.19,0.30000000000000004,25,0.3,0.3965781528338779,24.879335160982066,810.4004349276494
58,20220626_040436_3620108077,0.19,0.3500000000000001,20,0.3,0.39340162670478446,20.030819470106966,810.4004349276494
59,20220626_040436_3620108077,0.19,0.3500000000000001,25,0.3,0.3528477209295736,25.639841239172487,831.8147759574093
60,20220626_040436_3620108077,0.19,0.40000000000000013,20,0.207974907484482,0.20886128475867125,21.228308605731574,787.5491932231183
61,20220626_040436_3620108077,0.19,0.40000000000000013,25,0.3,0.35252237084082505,24.417754769447264,807.6577207753588
62,20220626_040436_3620108077,0.19,0.45000000000000007,20,0.3,0.3978847808224544,21.001659876035177,788.0760361549717
63,20220626_040436_3620108077,0.19,0.45000000000000007,25,0.24520180078747905,0.3756355804709123,24.922148956165504,829.6097962194226
64,20220626_040436_3620108077,0.21,0.1,20,0.3,0.37388280968970744,20.0,794.1822880260124
65,20220626_040436_3620108077,0.21,0.1,25,0.2138452421318085,0.1909976635462669,25.959427815756232,829.939654931741
66,20220626_040436_3620108077,0.21,0.15000000000000002,20,0.3,0.3725045806229539,20.0,799.4870037276639
67,20220626_040436_3620108077,0.21,0.15000000000000002,25,0.3,0.38707096618690945,25.029742428476133,810.4004349276494
68,20220626_040436_3620108077,0.21,0.20000000000000004,20,0.20359171374174562,0.2063245719485396,20.0,793.7153965564117
69,20220626_040436_3620108077,0.21,0.20000000000000004,25,0.3,0.37023162369145773,25.424015962878396,812.346055980058
70,20220626_040436_3620108077,0.21,0.25000000000000006,20,0.21896522735729876,0.23692837148430096,20.085823376641414,803.4716630330415
71,20220626_040436_3620108077,0.21,0.25000000000000006,25,0.3,0.41182914268725973,25.49127080806749,790.7324169892995
72,20220626_040436_3620108077,0.21,0.30000000000000004,20,0.13881355277617538,0.17942067479020235,20.0,789.147897110473
73,20220626_040436_3620108077,0.21,0.30000000000000004,25,0.3,0.39888640374720874,24.795123037333106,800.5167795452317
74,20220626_040436_3620108077,0.21,0.3500000000000001,20,0.21098551309738822,0.2752512022218503,20.177552385651477,794.8844220791598
75,20220626_040436_3620108077,0.21,0.3500000000000001,25,0.3,0.38901300648994963,25.55800588156094,810.4004349276494
76,20220626_040436_3620108077,0.21,0.40000000000000013,20,0.21853681740302008,0.3043966530325452,21.12432350062401,811.5371052746764
77,20220626_040436_3620108077,0.21,0.40000000000000013,25,0.2594750029240568,0.36852746873506875,26.73487709832033,788.9714619293591
78,20220626_040436_3620108077,0.21,0.45000000000000007,20,0.3,0.37577245485700483,20.53888036436401,794.1822880260124
79,20220626_040436_3620108077,0.21,0.45000000000000007,25,0.3,0.3881650243208561,25.483787754980728,810.4004349276494
80,20220626_040436_3620108077,0.22999999999999998,0.1,20,0.3,0.37664669440168164,20.23416356719733,794.1822880260124
81,20220626_040436_3620108077,0.22999999999999998,0.1,25,0.3,0.3890008817550793,25.581334285973462,810.4004349276494
82,20220626_040436_3620108077,0.22999999999999998,0.15000000000000002,20,0.3,0.3961856411062635,20.050730171430438,794.1822880260124
83,20220626_040436_3620108077,0.22999999999999998,0.15000000000000002,25,0.21873711229444182,0.20829356171000388,25.694369235873918,789.0885086015611
84,20220626_040436_3620108077,0.22999999999999998,0.20000000000000004,20,0.1936313203425934,0.2237189422712402,20.553024115825096,790.9512820742395
85,20220626_040436_3620108077,0.22999999999999998,0.20000000000000004,25,0.18695707476843754,0.31684054755218444,24.843792239836734,787.0411418588471
86,20220626_040436_3620108077,0.22999999999999998,0.25000000000000006,20,0.24298989240445784,0.39877400406688285,20.116813292614314,825.8696473343015
87,20220626_040436_3620108077,0.22999999999999998,0.25000000000000006,25,0.3,0.3515770091106681,24.700757299140257,793.0007604894649
88,20220626_040436_3620108077,0.22999999999999998,0.30000000000000004,20,0.3,0.4000802163963592,20.280742277971136,818.3591935867065
89,20220626_040436_3620108077,0.22999999999999998,0.30000000000000004,25,0.3,0.39710703587650814,24.95201440107946,810.4004349276494
90,20220626_040436_3620108077,0.22999999999999998,0.3500000000000001,20,0.21118133424546265,0.23102093888286573,20.37171206797439,798.8282286377134
91,20220626_040436_3620108077,0.22999999999999998,0.3500000000000001,25,0.21225720424232902,0.28095728301519707,23.96124708216721,792.2453551755651
92,20220626_040436_3620108077,0.22999999999999998,0.40000000000000013,20,0.3,0.3745602336083406,20.334028333711537,808.1695405821733
93,20220626_040436_3620108077,0.22999999999999998,0.40000000000000013,25,0.3,0.25180980262288627,25.520060023602014,846.6877639428928
94,20220626_040436_3620108077,0.22999999999999998,0.45000000000000007,20,0.22171170511492422,0.2367075957999939,20.462025856993222,789.3860704030358
95,20220626_040436_3620108077,0.22999999999999998,0.45000000000000007,25,0.2125365599721396,0.20161025331682558,24.675389541654326,786.7823542312698
96,20220721_053919_3620108077,0.19,0.1,20,0.3,0.29481748733711055,20.0,956.1084072422037
97,20220721_053919_3620108077,0.19,0.1,25,0.3,0.3642876485327314,23.509543732955947,969.4262500707806
98,20220721_053919_3620108077,0.19,0.15000000000000002,20,0.3,0.36004589046753566,20.0,1001.1774673389813
99,20220721_053919_3620108077,0.19,0.15000000000000002,25,0.2728569601195622,0.3027805453967073,26.09749392630909,983.3013354682686
100,20220721_053919_3620108077,0.19,0.20000000000000004,20,0.3,0.48627066021054527,20.338894757942377,903.1997054297948
101,20220721_053919_3620108077,0.19,0.20000000000000004,25,0.3,0.2674785680694571,25.220251195286625,1014.0829026313146
102,20220721_053919_3620108077,0.19,0.25000000000000006,20,0.1945710638883884,0.2861697242595897,20.677322017003135,1003.2146938429195
103,20220721_053919_3620108077,0.19,0.25000000000000006,25,0.3,0.27663014487630216,25.23685672760102,1001.8075313462693
104,20220721_053919_3620108077,0.19,0.30000000000000004,20,0.26852977753541435,0.4853307224992999,20.11260571572427,903.1997054297948
105,20220721_053919_3620108077,0.19,0.30000000000000004,25,0.3,0.35439760290225736,25.380204881386497,1022.750714054132
106,20220721_053919_3620108077,0.19,0.3500000000000001,20,0.3,0.36370491036994085,20.83209762955192,958.8941142339145
107,20220721_053919_3620108077,0.19,0.3500000000000001,25,0.3,0.3115033989187699,24.902006918850486,989.3064581874182
108,20220721_053919_3620108077,0.19,0.40000000000000013,20,0.3,0.48450861818311913,20.3996394063545,903.1997054297948
109,20220721_053919_3620108077,0.19,0.40000000000000013,25,0.2929827919824121,0.256909215240134,24.416308642519073,992.5111967778284
110,20220721_053919_3620108077,0.19,0.45000000000000007,20,0.3,0.48564800435417926,20.0,903.1997054297948
111,20220721_053919_3620108077,0.19,0.45000000000000007,25,0.3,0.4036767756516067,24.67324000875908,1029.10427628752
112,20220721_053919_3620108077,0.21,0.1,20,0.3,0.4859944419408474,20.0,903.1997054297948
