,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT,RUNTIME
0,20221026_041953_3600609177,0.255986,0.318812,22.753841,0.14576958925335418,0.10234031090605542,23.024111813387652,1408.7065868119657,426.8981502056122
1,20221026_102916_3600609177,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,475.45061111450195
2,20221026_134805_3600609177,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,459.0128917694092
3,20221028_223936_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,435.53101801872253
4,20221028_210936_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,413.4252333641052
5,20221029_211205_3620507177,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,379.037367105484
6,20221028_233823_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,402.2751750946045
7,20221016_234050_3620112077,0.255986,0.318812,22.753841,0.2323756237062352,0.4424742361382104,23.350415831639403,67444.57886331464,492.70518493652344
8,20221018_042025_3620112077,0.255986,0.318812,22.753841,0.10625175344949064,0.1,23.368625579479584,58408.06824011507,402.4892199039459
9,20221016_051533_3600609177,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,587.5456881523132
10,20221018_122703_3600606077,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,386.62128591537476
11,20221016_031633_3620509175,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,379.4841420650482
12,20221008_201115_3620112077,0.255986,0.318812,22.753841,0.3,0.18839427410316645,22.743218895586104,63225.41882312488,445.9683976173401
13,20221008_030317_3620108077,0.255986,0.318812,22.753841,0.3,0.1943117889131074,22.714275559807,975.9616393394585,440.20679092407227
14,20221008_135325_3620112077,0.255986,0.318812,22.753841,0.1,0.19722084287133446,22.393434265997513,62414.84743707078,415.5786020755768
15,20221007_211016_3620108077,0.255986,0.318812,22.753841,0.3,0.3501478595822469,23.49587127631888,1749.9197177327108,472.2670819759369
16,20221005_135201_3620108077,,,,,,,,
17,20221007_050103_3620108077,0.255986,0.318812,22.753841,0.3,0.24882641851615372,22.811213110477183,1073.2609009317803,492.6026029586792
18,20221006_135137_3620108077,0.255986,0.318812,22.753841,0.3,0.24682783206997638,23.09792312069613,884.6489246863264,498.04328083992004
19,20221006_200315_3620010078,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,540.9244148731232
20,20221007_020545_3620010078,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,608.3650498390198
21,20221006_220405_3620010078,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,583.7681748867035
22,20221007_000455_3620010078,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,600.7997691631317
23,20220924_131932_3600110078,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,731.9741010665894
24,20220924_120813_3600108078,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,736.7084980010986
25,20220924_151811_3600112078,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,628.1724722385406
26,20220924_021937_3620110077,0.255986,0.318812,22.753841,0.3,0.4559548742528978,22.200182981738212,9241.225970461832,502.5054461956024
27,20220917_011728_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,414.7592408657074
28,20220909_235026_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,385.9607172012329
29,20220904_060426_3620258076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,350.406213760376
30,20220904_031019_3620258076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,336.2286310195923
31,20220904_042426_3620258076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,350.88543796539307
32,20221018_130408_3400606077,,,,,,,,
33,20221111_223851_3620258076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,339.6098120212555
34,20221001_022926_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,401.24193000793457
35,20221001_013026_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,420.72813391685486
36,20221001_003126_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,440.83019495010376
37,20221018_231020_3620112077,0.255986,0.318812,22.753841,0.26982135765308907,0.1337219449819126,22.688065511001803,67280.03437884699,473.3458468914032
38,20221008_020430_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,431.846168756485
39,20221008_010555_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,443.5203058719635
40,20221008_000720_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,435.8712272644043
41,20220924_012036_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,432.05654978752136
42,20220924_002201_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,414.41892981529236
43,20221029_020441_3600607176,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,267.0121359825134
44,20221026_170654_3600609177,0.255986,0.318812,22.753841,0.15115909723483092,0.2561908566869948,21.977425269170766,1025.7772530480302,452.76350021362305
45,20221026_071530_3600609177,0.255986,0.318812,22.753841,0.1,0.20036058856917494,22.931598917306218,498.31043492787495,432.38738799095154
46,20221026_002630_3600609177,0.255986,0.318812,22.753841,0.25534562703213476,0.1,24.51297952331294,1250.4332506315227,433.52260303497314
47,20221025_041441_3620507177,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,394.8690800666809
48,20220923_232326_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,437.1452431678772
49,20220910_014826_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,406.12472438812256
50,20220910_004926_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,421.9863097667694
51,20221025_023611_3620607175,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,298.17764616012573
52,20221018_134113_3600606077,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,370.09885334968567
53,20221025_195518_3600609177,0.255986,0.318812,22.753841,0.1,0.44106805093913803,23.337022240934424,1434.8307164064554,481.0564739704132
54,20221015_021636_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,393.61016297340393
55,20221015_011801_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,443.1015920639038
56,20221015_001926_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,420.40085911750793
57,20221007_135202_3620108077,0.255986,0.318812,22.753841,0.16896264197922523,0.1,22.862506336728963,996.3515931915787,461.70802187919617
58,20221029_065819_3600609177,0.255986,0.318812,22.753841,0.1,0.12068385286464742,22.54226592504746,699.3001346049806,350.82488775253296
59,20221029_041915_3600607176,0.255986,0.318812,22.753841,0.3,0.15685545587188177,24.138408720672693,1390.6412948397278,274.91920495033264
60,20220917_001728_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,427.67442893981934
61,20220916_224528_3620108076,0.255986,0.318812,22.753841,0.255986,0.318812,22.753841,100000.0,395.5433096885681
