,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT,RUNTIME
0,20221026_041953_3600609177,,,,,,,,
1,20221026_102916_3600609177,,,,,,,,
2,20221026_134805_3600609177,,,,,,,,
3,20221028_223936_3620108076,,,,,,,,
4,20221028_210936_3620108076,,,,,,,,
5,20221029_211205_3620507177,,,,,,,,
6,20221028_233823_3620108076,,,,,,,,
7,20221016_234050_3620112077,,,,,,,,
8,20221018_042025_3620112077,,,,,,,,
9,20221016_051533_3600609177,,,,,,,,
10,20221018_122703_3600606077,,,,,,,,
11,20221016_031633_3620509175,,,,,,,,
12,20221008_201115_3620112077,,,,,,,,
13,20221008_030317_3620108077,,,,,,,,
14,20221008_135325_3620112077,,,,,,,,
15,20221007_211016_3620108077,,,,,,,,
16,20221005_135201_3620108077,,,,,,,,
17,20221007_050103_3620108077,,,,,,,,
18,20221006_135137_3620108077,,,,,,,,
19,20221006_200315_3620010078,,,,,,,,
20,20221007_020545_3620010078,,,,,,,,
21,20221006_220405_3620010078,,,,,,,,
22,20221007_000455_3620010078,,,,,,,,
23,20220924_131932_3600110078,,,,,,,,
24,20220924_120813_3600108078,,,,,,,,
25,20220924_151811_3600112078,,,,,,,,
26,20220924_021937_3620110077,,,,,,,,
27,20220917_011728_3620108076,,,,,,,,
28,20220909_235026_3620108076,,,,,,,,
29,20220904_060426_3620258076,,,,,,,,
30,20220904_031019_3620258076,,,,,,,,
31,20220904_042426_3620258076,,,,,,,,
32,20221018_130408_3400606077,,,,,,,,
33,20221111_223851_3620258076,,,,,,,,
34,20221001_022926_3620108076,,,,,,,,
35,20221001_013026_3620108076,,,,,,,,
36,20221001_003126_3620108076,,,,,,,,
37,20221018_231020_3620112077,,,,,,,,
38,20221008_020430_3620108076,,,,,,,,
39,20221008_010555_3620108076,,,,,,,,
40,20221008_000720_3620108076,,,,,,,,
41,20220924_012036_3620108076,,,,,,,,
42,20220924_002201_3620108076,,,,,,,,
43,20221029_020441_3600607176,,,,,,,,
44,20221026_170654_3600609177,,,,,,,,
45,20221026_071530_3600609177,,,,,,,,
46,20221026_002630_3600609177,,,,,,,,
47,20221025_041441_3620507177,,,,,,,,
48,20220923_232326_3620108076,,,,,,,,
49,20220910_014826_3620108076,,,,,,,,
50,20220910_004926_3620108076,,,,,,,,
51,20221025_023611_3620607175,,,,,,,,
52,20221018_134113_3600606077,,,,,,,,
53,20221025_195518_3600609177,,,,,,,,
54,20221015_021636_3620108076,,,,,,,,
55,20221015_011801_3620108076,,,,,,,,
56,20221015_001926_3620108076,,,,,,,,
57,20221007_135202_3620108077,,,,,,,,
58,20221029_065819_3600609177,,,,,,,,
59,20221029_041915_3600607176,,,,,,,,
60,20220917_001728_3620108076,,,,,,,,
61,20220916_224528_3620108076,,,,,,,,
