,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED INPUTS,RESULT
0,20221008_030317_3620108077,0.19,0.1,20,[ 0.19    0.1025 20.    ],1359.916272376878
1,20221008_030317_3620108077,0.19,0.1,25,[ 0.19      0.104375 25.      ],1359.916272376878
2,20221008_030317_3620108077,0.19,0.15000000000000002,20,[ 0.192375  0.148125 20.25    ],1195.1611276276926
3,20221008_030317_3620108077,0.19,0.15000000000000002,25,[ 0.19413723  0.14554902 24.86229066],1195.1611276276926
4,20221008_030317_3620108077,0.19,0.20000000000000004,20,[ 0.19473763  0.20001302 19.99348958],1210.0547706077039
5,20221008_030317_3620108077,0.19,0.20000000000000004,25,[ 0.19  0.2  26.25],1154.9987082481978
6,20221008_030317_3620108077,0.19,0.25000000000000006,20,[ 0.19475  0.25    20.     ],961.4885481179145
7,20221008_030317_3620108077,0.19,0.25000000000000006,25,[ 0.1902309   0.25175058 26.0083912 ],1121.6045694650902
8,20221008_030317_3620108077,0.19,0.30000000000000004,20,[ 0.1805      0.31       20.66666667],1131.4850983856695
9,20221008_030317_3620108077,0.19,0.30000000000000004,25,[ 0.19809259  0.31944444 24.02777778],1050.426188899373
10,20221008_030317_3620108077,0.19,0.3500000000000001,20,[ 0.19703704  0.33185185 20.55555556],1116.5756925784924
11,20221008_030317_3620108077,0.19,0.3500000000000001,25,[ 0.20647188  0.31927298 24.58847737],949.9801340666213
12,20221008_030317_3620108077,0.19,0.40000000000000013,20,[ 0.17975965  0.40000514 20.91075103],1189.67442089137
13,20221008_030317_3620108077,0.19,0.40000000000000013,25,[ 0.19475  0.4     25.     ],1527.4576747507929
14,20221008_030317_3620108077,0.19,0.45000000000000007,20,[ 0.19368711  0.45706597 20.20601852],1301.8575326328082
15,20221008_030317_3620108077,0.19,0.45000000000000007,25,[ 0.19475  0.43875 25.625  ],1297.7835043142884
16,20221008_030317_3620108077,0.21,0.1,20,[ 0.20883333  0.10236111 20.04166667],1333.5051974770884
17,20221008_030317_3620108077,0.21,0.1,25,[ 0.21  0.1  26.25],1999.673789247342
18,20221008_030317_3620108077,0.21,0.15000000000000002,20,[ 0.198625    0.16166667 20.22222222],1198.7503660747664
19,20221008_030317_3620108077,0.21,0.15000000000000002,25,[ 0.224       0.1475     23.33333333],1362.573280051369
20,20221008_030317_3620108077,0.21,0.20000000000000004,20,[ 0.209761    0.20549769 20.19020062],1032.8182215297788
21,20221008_030317_3620108077,0.21,0.20000000000000004,25,[ 0.212625  0.2025   25.3125  ],1103.9091886068197
22,20221008_030317_3620108077,0.21,0.25000000000000006,20,[ 0.22415636  0.24434903 19.3982366 ],1008.887277712166
23,20221008_030317_3620108077,0.21,0.25000000000000006,25,[ 0.205625    0.26180556 25.03472222],951.2408256232203
24,20221008_030317_3620108077,0.21,0.30000000000000004,20,[ 0.20214073  0.3215586  20.39661298],1053.815069677119
25,20221008_030317_3620108077,0.21,0.30000000000000004,25,[ 0.2065      0.30833333 26.31944444],1110.9380168651005
26,20221008_030317_3620108077,0.21,0.3500000000000001,20,[ 0.21145833  0.34465278 20.58333333],1184.5356027267962
27,20221008_030317_3620108077,0.21,0.3500000000000001,25,[ 0.20919792  0.34817708 25.42534722],1169.477196528725
28,20221008_030317_3620108077,0.21,0.40000000000000013,20,[ 0.21  0.4  20.  ],1206.8144393043767
29,20221008_030317_3620108077,0.21,0.40000000000000013,25,[ 0.21175     0.41       25.20833333],1213.3983631214835
30,20221008_030317_3620108077,0.21,0.45000000000000007,20,[ 0.25677709  0.37625514 17.49657064],1027.2192364970047
31,20221008_030317_3620108077,0.21,0.45000000000000007,25,[ 0.24137937  0.41030093 25.22226509],1036.9571098278566
32,20221008_030317_3620108077,0.22999999999999998,0.1,20,[ 0.23575  0.10375 19.25   ],1333.5051974770884
33,20221008_030317_3620108077,0.22999999999999998,0.1,25,[ 0.23958333  0.10166667 24.375     ],1534.3910091347582
34,20221008_030317_3620108077,0.22999999999999998,0.15000000000000002,20,[ 0.22361111  0.145      21.11111111],1254.0549399700703
35,20221008_030317_3620108077,0.22999999999999998,0.15000000000000002,25,[ 0.24910361  0.13382432 25.98120861],986.4677526596219
36,20221008_030317_3620108077,0.22999999999999998,0.20000000000000004,20,[ 0.24589507  0.20446738 19.19322274],1026.7722576525139
37,20221008_030317_3620108077,0.22999999999999998,0.20000000000000004,25,[ 0.24497544  0.19277006 24.37274949],1004.0355512656145
38,20221008_030317_3620108077,0.22999999999999998,0.25000000000000006,20,[ 0.23894444  0.25138889 19.33333333],955.3184822214675
39,20221008_030317_3620108077,0.22999999999999998,0.25000000000000006,25,[ 0.25045065  0.25538834 28.68508666],952.4461980004709
40,20221008_030317_3620108077,0.22999999999999998,0.30000000000000004,20,[ 0.23109386  0.32837508 18.86360811],1049.8692778472223
41,20221008_030317_3620108077,0.22999999999999998,0.30000000000000004,25,[ 0.23958333  0.3125     25.20833333],1027.1977152860281
42,20221008_030317_3620108077,0.22999999999999998,0.3500000000000001,20,[ 0.23     0.35875 20.     ],993.2129003548336
43,20221008_030317_3620108077,0.22999999999999998,0.3500000000000001,25,[ 0.25625287  0.34423935 23.88378455],1035.3499885386636
44,20221008_030317_3620108077,0.22999999999999998,0.40000000000000013,20,[ 0.23  0.42 20.  ],1182.4665875976564
45,20221008_030317_3620108077,0.22999999999999998,0.40000000000000013,25,[ 0.24341667  0.4        24.6875    ],1072.9343723177824
46,20221008_030317_3620108077,0.22999999999999998,0.45000000000000007,20,[ 0.2412338   0.3896875  21.21759259],1071.043353641842
47,20221008_030317_3620108077,0.22999999999999998,0.45000000000000007,25,[ 0.24974169  0.23780232 32.39605958],967.6732582449173
48,20220626_040436_3620108077,0.19,0.1,20,[ 0.19   0.105 20.   ],2821.24206502425
49,20220626_040436_3620108077,0.19,0.1,25,[ 0.1936358   0.10709877 23.37962963],2319.2223379411635
50,20220626_040436_3620108077,0.19,0.15000000000000002,20,[ 0.201875  0.145    19.5     ],895.6796430653146
